pref_code,CAGR,Geometric Mean Return,Annualized Volatility,Sharpe Ratio,Prefecture Name
01,2.81%,3.05%,5.45%,0.561,北海道
02,-2.15%,-2.39%,2.60%,-0.922,青森県
03,-2.05%,-2.21%,3.33%,-0.662,岩手県
04,3.08%,3.78%,6.45%,0.586,宮城県
05,-2.76%,-2.87%,3.27%,-0.878,秋田県
06,-1.54%,-1.70%,2.75%,-0.619,山形県
07,0.03%,-0.18%,2.90%,-0.063,福島県
08,-1.11%,-1.18%,2.34%,-0.503,茨城県
09,-1.38%,-1.41%,1.86%,-0.756,栃木県
10,-1.29%,-1.29%,1.97%,-0.655,群馬県
11,0.44%,0.81%,2.99%,0.270,埼玉県
12,0.80%,1.11%,3.47%,0.318,千葉県
13,1.60%,2.55%,7.17%,0.356,東京都
14,1.06%,1.46%,3.07%,0.475,神奈川県
15,-1.22%,-1.20%,1.41%,-0.852,新潟県
16,-0.72%,-0.76%,2.04%,-0.374,富山県
17,0.36%,0.28%,3.74%,0.074,石川県
18,-1.65%,-1.78%,2.29%,-0.776,福井県
19,-1.25%,-1.32%,1.10%,-1.195,山梨県
20,-1.41%,-1.52%,1.73%,-0.880,長野県
21,-0.75%,-0.70%,1.06%,-0.665,岐阜県
22,-0.49%,-0.28%,1.30%,-0.211,静岡県
23,2.26%,2.79%,5.14%,0.542,愛知県
24,-0.92%,-0.95%,1.02%,-0.931,三重県
25,0.17%,0.39%,1.85%,0.213,滋賀県
26,2.77%,2.91%,4.36%,0.667,京都府
27,2.01%,2.47%,6.28%,0.394,大阪府
28,0.73%,0.99%,2.63%,0.375,兵庫県
29,-0.21%,-0.11%,1.74%,-0.061,奈良県
30,-1.78%,-1.82%,1.81%,-1.006,和歌山県
31,-2.51%,-2.54%,1.95%,-1.298,鳥取県
32,-1.82%,-1.80%,1.59%,-1.133,島根県
33,0.03%,-0.04%,1.92%,-0.022,岡山県
34,1.60%,1.64%,3.24%,0.506,広島県
35,-1.60%,-1.66%,2.35%,-0.704,山口県
36,-2.41%,-2.44%,3.06%,-0.797,徳島県
37,-1.27%,-1.44%,2.60%,-0.555,香川県
38,-0.95%,-0.91%,1.17%,-0.780,愛媛県
39,-2.73%,-2.76%,3.25%,-0.849,高知県
40,3.57%,3.89%,5.83%,0.667,福岡県
41,-0.98%,-1.06%,3.21%,-0.331,佐賀県
42,0.51%,0.44%,2.34%,0.188,長崎県
43,1.24%,1.28%,3.34%,0.384,熊本県
44,-0.25%,-0.28%,2.81%,-0.098,大分県
45,-1.10%,-1.10%,1.59%,-0.692,宮崎県
46,-0.57%,-0.57%,1.60%,-0.354,鹿児島県
47,3.01%,2.91%,4.94%,0.589,沖縄県
